PC	AUC	Test
PC1	0.853798635957066	CLL
PC2	0.813243515205724	CLL
PC3	0.854480657423971	CLL
PC4	0.82834581842576	CLL
Prom1	0.566536225402505	CLL
Prom2	0.578043940071556	CLL
Prom3	0.650729539355993	CLL
Prom4	0.543836650268336	CLL
PC1	0.724200581395349	CRC
PC2	0.783542039355993	CRC
PC3	0.793832257858421	CRC
PC4	0.804969013544595	CRC
PC5	0.748163174035267	CRC
Prom1	0.427357526194735	CRC
Prom2	0.581523128034756	CRC
Prom3	0.542798044978278	CRC
Prom4	0.533242556861743	CRC
Prom5	0.513955884232047	CRC
PC1	0.73931215281047	LGG
PC2	0.686680573863101	LGG
PC3	0.696054691177855	LGG
PC4	0.68570962009227	LGG
Prom1	0.668123587703606	LGG
Prom2	0.533896584596554	LGG
Prom3	0.665790356369457	LGG
Prom4	0.582061776198098	LGG
PC1	0.798185002981515	MSC
PC2	0.688923673225999	MSC
PC3	0.700499403697078	MSC
PC4	0.68880068574836	MSC
PC5	0.682438878950507	MSC
Prom1	0.705629472271914	MSC
Prom2	0.476449761478831	MSC
Prom3	0.644057468694097	MSC
Prom4	0.66193351222421	MSC
Prom5	0.675847868217054	MSC
PC1	0.787927167736504	NPC
PC2	0.712967286646322	NPC
PC3	0.743497119330738	NPC
PC4	0.730640981795223	NPC
PC5	0.743460946543197	NPC
Prom1	0.591763785120488	NPC
Prom2	0.587427983268442	NPC
Prom3	0.665631905713985	NPC
Prom4	0.622527096706303	NPC
Prom5	0.690283660423024	NPC
PC1	0.675587643375776	PTC
PC2	0.705347982216142	PTC
PC3	0.686403306850468	PTC
PC4	0.741310309902136	PTC
PC5	0.66136844943702	PTC
Prom1	0.446821069662212	PTC
Prom2	0.660158305272019	PTC
Prom3	0.689004459118173	PTC
Prom4	0.331301628433126	PTC
Prom5	0.585750881300642	PTC
PC1	0.723420004306632	TSC
PC2	0.689909022394487	TSC
PC3	0.686784643543364	TSC
PC4	0.751833424435169	TSC
PC5	0.736654616378454	TSC
Prom1	0.618228441992977	TSC
Prom2	0.668903837871861	TSC
Prom3	0.596490301795534	TSC
Prom4	0.692954722387862	TSC
Prom5	0.682919027032399	TSC
