dPC1	mark	type	x	y
43	H3K4me1	CLL	-1	25
41	H3K4me1	CLL	-1	24
41	H3K4me1	CLL	-2	20
41	H3K4me1	CLL	-2	17
40	H3K4me1	CLL	-2	17
37	H3K4me1	CLL	-2	18
37	H3K4me1	CLL	8	31
-36	H3K4me1	CLL	27	2
-36	H3K4me1	CLL	26	-1
-35	H3K4me1	CLL	24	-2
35	H3K4me1	CLL	0	26
35	H3K4me1	CLL	5	27
-35	H3K4me1	CLL	17	-3
34	H3K4me1	CLL	-2	15
-34	H3K4me1	CLL	25	-2
-34	H3K4me1	CLL	22	-4
-34	H3K4me1	CLL	21	-5
34	H3K4me1	CLL	-1	16
33	H3K4me1	CLL	9	25
33	H3K4me1	CLL	-2	14
33	H3K4me1	CLL	6	28
33	H3K4me1	CLL	-2	12
-33	H3K4me1	CLL	27	4
-33	H3K4me1	CLL	25	3
33	H3K4me1	CLL	0	15
33	H3K4me1	CLL	7	26
33	H3K4me1	CLL	7	28
33	H3K4me1	CLL	8	29
33	H3K4me1	CLL	3	27
33	H3K4me1	CLL	5	27
33	H3K4me1	CLL	8	32
-33	H3K4me1	CLL	19	-4
32	H3K4me1	CLL	8	28
32	H3K4me1	CLL	7	25
-32	H3K4me1	CLL	25	-1
32	H3K4me1	CLL	8	31
-32	H3K4me1	CLL	25	0
32	H3K4me1	CLL	-2	14
-32	H3K4me1	CLL	24	-1
32	H3K4me1	CLL	9	28
32	H3K4me1	CLL	7	27
32	H3K4me1	CLL	-2	10
-32	H3K4me1	CLL	25	3
-31	H3K4me1	CLL	21	-4
31	H3K4me1	CLL	10	31
-31	H3K4me1	CLL	27	4
31	H3K4me1	CLL	3	21
31	H3K4me1	CLL	5	28
31	H3K4me1	CLL	7	23
-31	H3K4me1	CLL	27	3
31	H3K4me1	CLL	-1	19
-31	H3K4me1	CLL	21	-1
-31	H3K4me1	CLL	25	1
-31	H3K4me1	CLL	16	-4
31	H3K4me1	CLL	4	20
31	H3K4me1	CLL	5	27
31	H3K4me1	CLL	-2	12
31	H3K4me1	CLL	9	28
31	H3K4me1	CLL	7	28
31	H3K4me1	CLL	4	24
31	H3K4me1	CLL	-2	13
31	H3K4me1	CLL	2	18
31	H3K4me1	CLL	8	27
31	H3K4me1	CLL	9	31
-31	H3K4me1	CLL	18	-4
31	H3K4me1	CLL	-2	14
31	H3K4me1	CLL	5	23
31	H3K4me1	CLL	8	25
30	H3K4me1	CLL	8	27
-30	H3K4me1	CLL	25	1
-30	H3K4me1	CLL	22	-1
30	H3K4me1	CLL	2	23
30	H3K4me1	CLL	7	27
30	H3K4me1	CLL	-2	14
30	H3K4me1	CLL	8	26
-30	H3K4me1	CLL	20	-2
30	H3K4me1	CLL	5	22
30	H3K4me1	CLL	15	33
30	H3K4me1	CLL	6	26
30	H3K4me1	CLL	2	21
30	H3K4me1	CLL	-1	10
30	H3K4me1	CLL	5	26
30	H3K4me1	CLL	8	30
-30	H3K4me1	CLL	26	2
30	H3K4me1	CLL	12	27
30	H3K4me1	CLL	7	28
30	H3K4me1	CLL	-2	12
30	H3K4me1	CLL	-2	10
30	H3K4me1	CLL	1	21
30	H3K4me1	CLL	7	26
30	H3K4me1	CLL	4	19
30	H3K4me1	CLL	3	21
30	H3K4me1	CLL	6	30
30	H3K4me1	CLL	14	30
30	H3K4me1	CLL	4	26
30	H3K4me1	CLL	5	27
-30	H3K4me1	CLL	25	3
-30	H3K4me1	CLL	14	-4
30	H3K4me1	CLL	7	24
30	H3K4me1	CLL	8	28
-30	H3K4me1	CLL	25	2
-29	H3K4me1	CLL	17	-3
29	H3K4me1	CLL	6	21
-29	H3K4me1	CLL	17	-4
-29	H3K4me1	CLL	29	4
29	H3K4me1	CLL	10	27
29	H3K4me1	CLL	3	21
29	H3K4me1	CLL	10	26
-29	H3K4me1	CLL	13	-5
-29	H3K4me1	CLL	28	4
29	H3K4me1	CLL	6	24
29	H3K4me1	CLL	7	26
-29	H3K4me1	CLL	28	5
29	H3K4me1	CLL	9	28
29	H3K4me1	CLL	7	25
-29	H3K4me1	CLL	29	5
29	H3K4me1	CLL	7	24
29	H3K4me1	CLL	4	23
29	H3K4me1	CLL	5	24
29	H3K4me1	CLL	-2	16
29	H3K4me1	CLL	3	25
-29	H3K4me1	CLL	26	5
-29	H3K4me1	CLL	14	-5
29	H3K4me1	CLL	4	20
-29	H3K4me1	CLL	24	2
-29	H3K4me1	CLL	25	4
29	H3K4me1	CLL	3	20
29	H3K4me1	CLL	3	22
29	H3K4me1	CLL	4	24
-29	H3K4me1	CLL	19	-2
29	H3K4me1	CLL	8	26
29	H3K4me1	CLL	8	27
-29	H3K4me1	CLL	29	12
29	H3K4me1	CLL	8	28
29	H3K4me1	CLL	5	25
-29	H3K4me1	CLL	27	6
29	H3K4me1	CLL	8	30
29	H3K4me1	CLL	10	28
29	H3K4me1	CLL	5	26
29	H3K4me1	CLL	5	23
29	H3K4me1	CLL	4	22
-29	H3K4me1	CLL	17	-2
29	H3K4me1	CLL	6	15
29	H3K4me1	CLL	5	21
29	H3K4me1	CLL	-1	12
29	H3K4me1	CLL	10	30
28	H3K4me1	CLL	-1	17
28	H3K4me1	CLL	7	25
-28	H3K4me1	CLL	19	-2
28	H3K4me1	CLL	8	20
28	H3K4me1	CLL	8	26
28	H3K4me1	CLL	8	28
28	H3K4me1	CLL	10	28
28	H3K4me1	CLL	8	27
28	H3K4me1	CLL	7	24
28	H3K4me1	CLL	9	27
-28	H3K4me1	CLL	14	-2
-28	H3K4me1	CLL	28	3
28	H3K4me1	CLL	-2	10
28	H3K4me1	CLL	6	25
28	H3K4me1	CLL	6	20
28	H3K4me1	CLL	5	24
28	H3K4me1	CLL	7	27
28	H3K4me1	CLL	9	26
28	H3K4me1	CLL	8	25
-28	H3K4me1	CLL	20	1
28	H3K4me1	CLL	9	28
28	H3K4me1	CLL	5	13
28	H3K4me1	CLL	7	26
-28	H3K4me1	CLL	13	-5
-28	H3K4me1	CLL	23	1
28	H3K4me1	CLL	10	23
28	H3K4me1	CLL	4	23
28	H3K4me1	CLL	9	25
28	H3K4me1	CLL	9	16
-28	H3K4me1	CLL	18	-3
28	H3K4me1	CLL	8	29
28	H3K4me1	CLL	0	19
28	H3K4me1	CLL	7	23
28	H3K4me1	CLL	-1	13
-28	H3K4me1	CLL	25	3
28	H3K4me1	CLL	10	27
-28	H3K4me1	CLL	23	5
-28	H3K4me1	CLL	13	-4
28	H3K4me1	CLL	5	27
-28	H3K4me1	CLL	20	-3
28	H3K4me1	CLL	5	22
-28	H3K4me1	CLL	22	4
28	H3K4me1	CLL	8	24
-28	H3K4me1	CLL	12	-4
-28	H3K4me1	CLL	21	0
-28	H3K4me1	CLL	26	8
27	H3K4me1	CLL	6	24
-27	H3K4me1	CLL	12	-4
27	H3K4me1	CLL	8	25
27	H3K4me1	CLL	9	27
-27	H3K4me1	CLL	14	-4
27	H3K4me1	CLL	4	24
-27	H3K4me1	CLL	24	1
-27	H3K4me1	CLL	24	0
27	H3K4me1	CLL	10	29
27	H3K4me1	CLL	7	25
27	H3K4me1	CLL	7	27
27	H3K4me1	CLL	9	26
-27	H3K4me1	CLL	14	-3
-27	H3K4me1	CLL	21	1
27	H3K4me1	CLL	10	26
27	H3K4me1	CLL	-2	14
27	H3K4me1	CLL	7	26
27	H3K4me1	CLL	-2	19
27	H3K4me1	CLL	9	25
27	H3K4me1	CLL	12	29
27	H3K4me1	CLL	10	28
-27	H3K4me1	CLL	14	-5
-27	H3K4me1	CLL	30	14
27	H3K4me1	CLL	-1	14
-27	H3K4me1	CLL	26	7
27	H3K4me1	CLL	8	22
27	H3K4me1	CLL	-2	11
-27	H3K4me1	CLL	15	-4
27	H3K4me1	CLL	5	24
27	H3K4me1	CLL	8	27
27	H3K4me1	CLL	10	27
27	H3K4me1	CLL	9	28
27	H3K4me1	CLL	11	27
-27	H3K4me1	CLL	14	-2
27	H3K4me1	CLL	-2	10
27	H3K4me1	CLL	4	25
-27	H3K4me1	CLL	22	0
27	H3K4me1	CLL	5	19
27	H3K4me1	CLL	8	26
27	H3K4me1	CLL	10	25
27	H3K4me1	CLL	1	16
27	H3K4me1	CLL	5	18
-27	H3K4me1	CLL	28	10
27	H3K4me1	CLL	9	24
27	H3K4me1	CLL	11	26
27	H3K4me1	CLL	9	30
-27	H3K4me1	CLL	24	4
-27	H3K4me1	CLL	18	-1
27	H3K4me1	CLL	7	24
27	H3K4me1	CLL	6	25
-27	H3K4me1	CLL	26	11
27	H3K4me1	CLL	7	22
26	H3K4me1	CLL	-2	13
-26	H3K4me1	CLL	24	1
26	H3K4me1	CLL	7	24
26	H3K4me1	CLL	9	27
26	H3K4me1	CLL	10	27
26	H3K4me1	CLL	10	29
-26	H3K4me1	CLL	23	1
26	H3K4me1	CLL	8	24
26	H3K4me1	CLL	5	22
26	H3K4me1	CLL	9	28
-26	H3K4me1	CLL	14	-3
26	H3K4me1	CLL	4	22
-26	H3K4me1	CLL	15	-3
26	H3K4me1	CLL	3	21
26	H3K4me1	CLL	4	24
-26	H3K4me1	CLL	14	0
-26	H3K4me1	CLL	20	2
-26	H3K4me1	CLL	19	0
26	H3K4me1	CLL	8	22
26	H3K4me1	CLL	8	25
26	H3K4me1	CLL	-2	14
26	H3K4me1	CLL	6	25
26	H3K4me1	CLL	4	23
-26	H3K4me1	CLL	17	-1
26	H3K4me1	CLL	9	26
26	H3K4me1	CLL	8	21
-26	H3K4me1	CLL	21	2
-26	H3K4me1	CLL	18	0
26	H3K4me1	CLL	9	25
26	H3K4me1	CLL	10	24
26	H3K4me1	CLL	10	26
-26	H3K4me1	CLL	26	6
26	H3K4me1	CLL	13	30
-26	H3K4me1	CLL	19	2
-26	H3K4me1	CLL	13	-2
-26	H3K4me1	CLL	13	-3
-26	H3K4me1	CLL	13	-4
26	H3K4me1	CLL	7	22
26	H3K4me1	CLL	-1	12
26	H3K4me1	CLL	6	24
26	H3K4me1	CLL	13	28
26	H3K4me1	CLL	11	28
26	H3K4me1	CLL	7	25
26	H3K4me1	CLL	9	29
26	H3K4me1	CLL	4	21
-26	H3K4me1	CLL	25	4
26	H3K4me1	CLL	4	16
26	H3K4me1	CLL	12	27
26	H3K4me1	CLL	11	26
26	H3K4me1	CLL	6	22
26	H3K4me1	CLL	10	23
26	H3K4me1	CLL	4	25
26	H3K4me1	CLL	7	23
26	H3K4me1	CLL	8	26
-26	H3K4me1	CLL	19	1
-26	H3K4me1	CLL	22	1
26	H3K4me1	CLL	11	24
26	H3K4me1	CLL	1	16
-26	H3K4me1	CLL	17	-2
-26	H3K4me1	CLL	12	-2
26	H3K4me1	CLL	8	27
26	H3K4me1	CLL	9	19
26	H3K4me1	CLL	9	24
26	H3K4me1	CLL	10	28
26	H3K4me1	CLL	6	23
26	H3K4me1	CLL	4	19
-26	H3K4me1	CLL	18	-2
-26	H3K4me1	CLL	24	0
-26	H3K4me1	CLL	12	-3
-26	H3K4me1	CLL	23	2
26	H3K4me1	CLL	5	21
26	H3K4me1	CLL	3	18
25	H3K4me1	CLL	11	28
25	H3K4me1	CLL	11	23
25	H3K4me1	CLL	9	26
25	H3K4me1	CLL	2	18
25	H3K4me1	CLL	10	24
25	H3K4me1	CLL	10	27
25	H3K4me1	CLL	12	31
-25	H3K4me1	CLL	18	2
25	H3K4me1	CLL	8	25
25	H3K4me1	CLL	5	26
-25	H3K4me1	CLL	19	2
-25	H3K4me1	CLL	18	-1
25	H3K4me1	CLL	8	26
-25	H3K4me1	CLL	22	6
25	H3K4me1	CLL	11	22
-25	H3K4me1	CLL	20	0
25	H3K4me1	CLL	7	26
25	H3K4me1	CLL	7	25
-25	H3K4me1	CLL	19	0
25	H3K4me1	CLL	9	25
25	H3K4me1	CLL	8	24
25	H3K4me1	CLL	-1	13
-25	H3K4me1	CLL	15	0
25	H3K4me1	CLL	9	28
25	H3K4me1	CLL	10	28
25	H3K4me1	CLL	4	21
25	H3K4me1	CLL	6	22
25	H3K4me1	CLL	-1	14
25	H3K4me1	CLL	12	30
25	H3K4me1	CLL	5	25
25	H3K4me1	CLL	10	22
-25	H3K4me1	CLL	13	-1
25	H3K4me1	CLL	11	24
25	H3K4me1	CLL	10	26
25	H3K4me1	CLL	12	27
-25	H3K4me1	CLL	21	1
25	H3K4me1	CLL	10	25
25	H3K4me1	CLL	9	22
25	H3K4me1	CLL	4	18
25	H3K4me1	CLL	1	17
25	H3K4me1	CLL	6	23
-25	H3K4me1	CLL	13	-3
-25	H3K4me1	CLL	13	0
-25	H3K4me1	CLL	28	10
25	H3K4me1	CLL	7	23
-25	H3K4me1	CLL	21	0
25	H3K4me1	CLL	-2	13
-25	H3K4me1	CLL	20	2
-25	H3K4me1	CLL	13	-4
25	H3K4me1	CLL	-2	12
25	H3K4me1	CLL	12	28
-25	H3K4me1	CLL	22	5
-25	H3K4me1	CLL	14	0
-25	H3K4me1	CLL	25	10
-25	H3K4me1	CLL	25	6
-25	H3K4me1	CLL	12	-3
25	H3K4me1	CLL	11	26
-25	H3K4me1	CLL	19	-1
25	H3K4me1	CLL	11	27
25	H3K4me1	CLL	8	27
25	H3K4me1	CLL	0	12
25	H3K4me1	CLL	12	26
25	H3K4me1	CLL	12	25
25	H3K4me1	CLL	9	23
25	H3K4me1	CLL	3	19
25	H3K4me1	CLL	8	20
-25	H3K4me1	CLL	26	7
-25	H3K4me1	CLL	17	1
25	H3K4me1	CLL	4	23
25	H3K4me1	CLL	5	21
25	H3K4me1	CLL	2	16
-25	H3K4me1	CLL	14	1
-25	H3K4me1	CLL	23	2
-25	H3K4me1	CLL	30	17
-25	H3K4me1	CLL	23	3
25	H3K4me1	CLL	0	14
25	H3K4me1	CLL	5	18
-25	H3K4me1	CLL	18	1
25	H3K4me1	CLL	-2	6
25	H3K4me1	CLL	5	20
25	H3K4me1	CLL	7	21
25	H3K4me1	CLL	12	29
25	H3K4me1	CLL	2	17
25	H3K4me1	CLL	7	18
-25	H3K4me1	CLL	26	13
25	H3K4me1	CLL	3	16
25	H3K4me1	CLL	7	22
25	H3K4me1	CLL	1	20
-25	H3K4me1	CLL	12	-5
25	H3K4me1	CLL	13	28
-25	H3K4me1	CLL	15	-2
-25	H3K4me1	CLL	19	-2
-25	H3K4me1	CLL	26	4
25	H3K4me1	CLL	9	27
25	H3K4me1	CLL	6	19
24	H3K4me1	CLL	17	33
-24	H3K4me1	CLL	14	-1
24	H3K4me1	CLL	10	21
-24	H3K4me1	CLL	25	1
24	H3K4me1	CLL	9	26
24	H3K4me1	CLL	11	27
24	H3K4me1	CLL	13	25
24	H3K4me1	CLL	3	20
24	H3K4me1	CLL	10	26
24	H3K4me1	CLL	9	27
24	H3K4me1	CLL	2	16
-24	H3K4me1	CLL	22	7
-24	H3K4me1	CLL	21	4
24	H3K4me1	CLL	10	27
24	H3K4me1	CLL	7	24
-24	H3K4me1	CLL	17	2
24	H3K4me1	CLL	7	22
24	H3K4me1	CLL	12	27
24	H3K4me1	CLL	12	29
24	H3K4me1	CLL	7	23
24	H3K4me1	CLL	4	20
24	H3K4me1	CLL	8	23
-24	H3K4me1	CLL	19	0
-24	H3K4me1	CLL	17	-3
-24	H3K4me1	CLL	23	1
24	H3K4me1	CLL	6	21
24	H3K4me1	CLL	7	21
-24	H3K4me1	CLL	29	17
-24	H3K4me1	CLL	23	6
24	H3K4me1	CLL	13	27
24	H3K4me1	CLL	11	28
-24	H3K4me1	CLL	25	2
24	H3K4me1	CLL	-2	9
24	H3K4me1	CLL	9	25
-24	H3K4me1	CLL	22	4
-24	H3K4me1	CLL	24	1
24	H3K4me1	CLL	-2	13
24	H3K4me1	CLL	8	26
24	H3K4me1	CLL	8	22
24	H3K4me1	CLL	10	25
24	H3K4me1	CLL	10	24
24	H3K4me1	CLL	4	19
24	H3K4me1	CLL	-1	12
-24	H3K4me1	CLL	24	7
24	H3K4me1	CLL	6	22
24	H3K4me1	CLL	8	24
-24	H3K4me1	CLL	18	1
24	H3K4me1	CLL	10	28
24	H3K4me1	CLL	1	14
-24	H3K4me1	CLL	26	9
-24	H3K4me1	CLL	23	4
-24	H3K4me1	CLL	15	-1
24	H3K4me1	CLL	4	23
24	H3K4me1	CLL	15	27
24	H3K4me1	CLL	8	25
-24	H3K4me1	CLL	13	-2
24	H3K4me1	CLL	11	26
-24	H3K4me1	CLL	25	8
-24	H3K4me1	CLL	24	8
24	H3K4me1	CLL	7	20
-24	H3K4me1	CLL	19	-1
-24	H3K4me1	CLL	17	-2
-24	H3K4me1	CLL	16	-1
24	H3K4me1	CLL	9	21
24	H3K4me1	CLL	5	26
-24	H3K4me1	CLL	20	4
24	H3K4me1	CLL	9	23
-24	H3K4me1	CLL	24	4
24	H3K4me1	CLL	11	25
24	H3K4me1	CLL	10	23
24	H3K4me1	CLL	6	20
-24	H3K4me1	CLL	14	2
24	H3K4me1	CLL	9	24
-24	H3K4me1	CLL	26	7
-24	H3K4me1	CLL	22	8
-24	H3K4me1	CLL	20	1
-24	H3K4me1	CLL	26	6
24	H3K4me1	CLL	5	21
-24	H3K4me1	CLL	30	14
-24	H3K4me1	CLL	13	-4
-24	H3K4me1	CLL	23	5
24	H3K4me1	CLL	8	27
24	H3K4me1	CLL	12	25
-24	H3K4me1	CLL	16	5
-24	H3K4me1	CLL	15	1
-24	H3K4me1	CLL	25	11
-24	H3K4me1	CLL	19	-2
24	H3K4me1	CLL	2	13
24	H3K4me1	CLL	6	23
24	H3K4me1	CLL	-2	12
-24	H3K4me1	CLL	25	7
24	H3K4me1	CLL	13	29
-24	H3K4me1	CLL	24	9
-24	H3K4me1	CLL	22	6
24	H3K4me1	CLL	5	19
24	H3K4me1	CLL	15	28
24	H3K4me1	CLL	1	15
24	H3K4me1	CLL	1	16
-24	H3K4me1	CLL	12	-4
24	H3K4me1	CLL	13	28
24	H3K4me1	CLL	11	24
24	H3K4me1	CLL	9	22
24	H3K4me1	CLL	14	25
24	H3K4me1	CLL	3	15
-24	H3K4me1	CLL	14	0
24	H3K4me1	CLL	14	28
24	H3K4me1	CLL	10	22
-24	H3K4me1	CLL	24	2
24	H3K4me1	CLL	14	27
24	H3K4me1	CLL	3	17
-24	H3K4me1	CLL	27	13
-24	H3K4me1	CLL	13	1
-24	H3K4me1	CLL	21	5
-24	H3K4me1	CLL	19	2
24	H3K4me1	CLL	-2	14
23	H3K4me1	CLL	11	20
-23	H3K4me1	CLL	15	3
23	H3K4me1	CLL	9	24
-23	H3K4me1	CLL	19	0
23	H3K4me1	CLL	7	23
23	H3K4me1	CLL	0	13
23	H3K4me1	CLL	-1	13
23	H3K4me1	CLL	8	22
23	H3K4me1	CLL	7	21
23	H3K4me1	CLL	11	27
23	H3K4me1	CLL	9	23
23	H3K4me1	CLL	11	28
23	H3K4me1	CLL	8	20
-23	H3K4me1	CLL	16	0
-23	H3K4me1	CLL	18	1
-23	H3K4me1	CLL	21	6
23	H3K4me1	CLL	12	27
23	H3K4me1	CLL	10	27
-23	H3K4me1	CLL	21	1
23	H3K4me1	CLL	11	26
23	H3K4me1	CLL	15	29
23	H3K4me1	CLL	11	24
23	H3K4me1	CLL	13	28
23	H3K4me1	CLL	10	26
-23	H3K4me1	CLL	20	4
23	H3K4me1	CLL	12	30
23	H3K4me1	CLL	3	16
23	H3K4me1	CLL	10	25
23	H3K4me1	CLL	11	25
23	H3K4me1	CLL	13	22
23	H3K4me1	CLL	15	27
