type	Loadings	Mark	PC
MSC	-0.0542446934818563	Meth	1
MSC	0.719321782336343	K27ac	1
MSC	-0.368788276994445	K27me3	1
MSC	0.548976998714509	K4me1	1
MSC	0.205555706122221	K4me3	1
MSC	0.174763764911947	Meth	2
MSC	-0.464931482147446	K27ac	2
MSC	-0.866888791117042	K27me3	2
MSC	0.0420793865353257	K4me1	2
MSC	0.00543069483819855	K4me3	2
MSC	-0.443700757563485	Meth	3
MSC	0.389894079779809	K27ac	3
MSC	-0.334256262821453	K27me3	3
MSC	-0.71236520861903	K4me1	3
MSC	-0.17866394321196	K4me3	3
MSC	-0.805465555532192	Meth	4
MSC	-0.28652159725472	K27ac	4
MSC	0.00962644767303238	K27me3	4
MSC	0.417534077262962	K4me1	4
MSC	-0.30773891367064	K4me3	4
MSC	-0.34766365396985	Meth	5
MSC	-0.17972999533719	K27ac	5
MSC	0.0260597938774711	K27me3	5
MSC	-0.122697530474548	K4me1	5
MSC	0.911643195358215	K4me3	5
NPC	-0.0974488196260945	Meth	1
NPC	0.748947570966785	K27ac	1
NPC	0.0328804983038927	K27me3	1
NPC	0.577108647521832	K4me1	1
NPC	0.308942948265926	K4me3	1
NPC	-0.1469173310392	Meth	2
NPC	-0.147688332914206	K27ac	2
NPC	0.972683652424894	K27me3	2
NPC	0.100275773373912	K4me1	2
NPC	0.02085031752689	K4me3	2
NPC	0.627028931929795	Meth	3
NPC	-0.444517868916755	K27ac	3
NPC	-0.0399493217727416	K27me3	3
NPC	0.630199666436752	K4me1	3
NPC	0.102425655231444	K4me3	3
NPC	0.749341391086525	Meth	4
NPC	0.402036549388622	K27ac	4
NPC	0.219910861134645	K27me3	4
NPC	-0.465622205061905	K4me1	4
NPC	0.108116917586979	K4me3	4
NPC	-0.119336597577146	Meth	5
NPC	-0.240906972571098	K27ac	5
NPC	-0.053372745681405	K27me3	5
NPC	-0.207206951635513	K4me1	5
NPC	0.939116199550239	K4me3	5
TSC	0.0721928899942396	Meth	1
TSC	0.702723410583043	K27ac	1
TSC	-0.0222018113640847	K27me3	1
TSC	0.654655109399835	K4me1	1
TSC	0.268145039412738	K4me3	1
TSC	-0.418912361280885	Meth	2
TSC	0.439648214567172	K27ac	2
TSC	-0.676433102516297	K27me3	2
TSC	-0.397739197829757	K4me1	2
TSC	-0.124353002874434	K4me3	2
TSC	0.438303854348648	Meth	3
TSC	-0.391254652811167	K27ac	3
TSC	-0.730012034323216	K27me3	3
TSC	0.349089033453155	K4me1	3
TSC	-0.00536697146947515	K4me3	3
TSC	-0.749004646697255	Meth	4
TSC	-0.329234987778799	K27ac	4
TSC	-0.0190329393154398	K27me3	4
TSC	0.528137405703468	K4me1	4
TSC	-0.226506048409396	K4me3	4
TSC	-0.257259384064784	Meth	5
TSC	-0.226745176624203	K27ac	5
TSC	-0.0930887445216946	K27me3	5
TSC	-0.111525538178408	K4me1	5
TSC	0.928062914982416	K4me3	5
MES	0.0544244752611136	Meth	1
MES	-0.564461468980615	K27ac	1
MES	-0.240941723670974	K27me3	1
MES	-0.69024696756349	K4me1	1
MES	-0.37937769582919	K4me3	1
MES	0.000953578427202792	Meth	2
MES	0.754501694410891	K27ac	2
MES	-0.441722022746838	K27me3	2
MES	-0.483870014817543	K4me1	2
MES	0.0384414776015604	K4me3	2
MES	-0.0737424249454779	Meth	3
MES	-0.155575806685324	K27ac	3
MES	-0.830841446287898	K27me3	3
MES	0.502561632246888	K4me1	3
MES	-0.165808685119172	K4me3	3
MES	0.0802583416884392	Meth	4
MES	0.296443062779162	K27ac	4
MES	0.228259529898477	K27me3	4
MES	0.182066901170313	K4me1	4
MES	-0.905775545942977	K4me3	4
MES	0.992551117340219	Meth	5
MES	-0.00530302476543257	K27ac	5
MES	-0.0665493693107778	K27me3	5
MES	0.0609293182422055	K4me1	5
MES	0.081688169387599	K4me3	5
