Loadings	Mark	PC	type
-0.600104192319538	K4me1	1	CLL
-0.569958452629452	K4me3	1	CLL
-0.560200824988493	K27ac	1	CLL
0.0346028368629983	Meth	1	CLL
0.121606422727006	K4me1	2	CLL
-0.218489593241764	K4me3	2	CLL
0.151100399110966	K27ac	2	CLL
0.956369617347339	Meth	2	CLL
-0.284243217454091	K4me1	3	CLL
0.781953298394203	K4me3	3	CLL
-0.47319845072784	K27ac	3	CLL
0.289548024843106	Meth	3	CLL
0.737761905795767	K4me1	4	CLL
-0.126327744584138	K4me3	4	CLL
-0.662892850541843	K27ac	4	CLL
-0.0179371125154752	Meth	4	CLL
0.0175307900751187	K4me1	1	GLM
-0.0671172611944604	K4me3	1	GLM
-0.131564860727038	K27me3	1	GLM
0.988877460594068	K27ac	1	GLM
-0.0493616895677364	K4me1	2	GLM
-0.0381687585050572	K4me3	2	GLM
-0.989108048978422	K27me3	2	GLM
-0.133311053267541	K27ac	2	GLM
-0.831583584297477	K4me1	3	GLM
-0.551441098401473	K4me3	3	GLM
0.0646777046412056	K27me3	3	GLM
-0.0140801932899841	K27ac	3	GLM
-0.552923898316325	K4me1	4	GLM
0.830632971966388	K4me3	4	GLM
-0.0131434162347515	K27me3	4	GLM
0.0644304210962803	K27ac	4	GLM
0.767364385919976	K4me1	1	CRC
0.234248470940675	K4me3	1	CRC
-0.13699331490822	K27me3	1	CRC
0.49325021362895	K27ac	1	CRC
-0.306947245482127	Meth	1	CRC
-0.108325713054523	K4me1	2	CRC
0.141172202522146	K4me3	2	CRC
-0.636308867297506	K27me3	2	CRC
0.340914741477049	K27ac	2	CRC
0.668748169020653	Meth	2	CRC
0.146157632977671	K4me1	3	CRC
0.267888710748761	K4me3	3	CRC
0.738319070810771	K27me3	3	CRC
0.202819165214219	K27ac	3	CRC
0.566235746729804	Meth	3	CRC
-0.422052205403886	K4me1	4	CRC
0.85447016644719	K4me3	4	CRC
-0.0164804688927684	K27me3	4	CRC
0.0620069196745522	K27ac	4	CRC
-0.296034130841318	Meth	4	CRC
-0.651257009385609	K4me1	1	PTC
-0.320601627274144	K4me3	1	PTC
0.137738343942324	K27me3	1	PTC
-0.667715807451491	K27ac	1	PTC
-0.0908991386247037	Meth	1	PTC
-0.0840939504701993	K4me1	2	PTC
-0.113046366059627	K4me3	2	PTC
-0.987419773636485	K27me3	2	PTC
-0.0697112017888147	K27ac	2	PTC
0.0170665049691214	Meth	2	PTC
-0.589262579256236	K4me1	3	PTC
-0.319167720883408	K4me3	3	PTC
0.0337646724860764	K27me3	3	PTC
0.740383887317572	K27ac	3	PTC
-0.0399152217432101	Meth	3	PTC
0.458303431999527	K4me1	4	PTC
-0.884582332705708	K4me3	4	PTC
0.064363529726235	K27me3	4	PTC
-0.0165260447544991	K27ac	4	PTC
0.0552836935120714	Meth	4	PTC
