type	AUC	LogCo
CLL	0.792142777280859	-2
CLL	0.792265764758497	-1.9
CLL	0.792366390876565	-1.8
CLL	0.792458631484794	-1.7
CLL	0.792601185152057	-1.6
CLL	0.792757714669052	-1.5
CLL	0.79294219588551	-1.4
CLL	0.793140652951699	-1.3
CLL	0.793372652057245	-1.2
CLL	0.793624217352415	-1.1
CLL	0.793934481216458	-1
CLL	0.794219588550984	-0.9
CLL	0.794638864042934	-0.8
CLL	0.795021802325581	-0.7
CLL	0.795429897137746	-0.6
CLL	0.795832401610018	-0.5
CLL	0.796274038461538	-0.4
CLL	0.796788349731664	-0.3
CLL	0.797498322898032	-0.2
CLL	0.798160778175313	-0.1
CLL	0.798937835420394	0
CLL	0.799770796064401	0.1
CLL	0.800620527728086	0.2
CLL	0.801651945438283	0.3
CLL	0.802638640429338	0.4
CLL	0.803837768336315	0.5
CLL	0.804997763864043	0.6
CLL	0.806314288908766	0.7
CLL	0.807739825581395	0.8
CLL	0.809394566189624	0.9
CLL	0.811099619856887	1
CLL	0.812902504472272	1.1
CLL	0.814929002683363	1.2
CLL	0.817151162790698	1.3
CLL	0.819543828264758	1.4
CLL	0.822104203935599	1.5
CLL	0.824647808586762	1.6
CLL	0.82734794275492	1.7
CLL	0.830084414132379	1.8
CLL	0.83267553667263	1.9
CLL	0.835244297853309	2
CLL	0.837653734347048	2.1
CLL	0.840051990161002	2.2
CLL	0.84227135509839	2.3
CLL	0.844426431127013	2.4
CLL	0.846427772808587	2.5
CLL	0.84818593470483	2.6
CLL	0.849868627012522	2.7
CLL	0.851190742397138	2.8
CLL	0.852616279069767	2.9
CLL	0.853846153846154	3
CLL	0.854653957960644	3.1
CLL	0.855363931127012	3.2
CLL	0.85594532647585	3.3
CLL	0.856420505366726	3.4
CLL	0.856758720930233	3.5
CLL	0.856918045617173	3.6
CLL	0.85700469588551	3.7
CLL	0.856906864937388	3.8
CLL	0.856887298747764	3.9
CLL	0.857147249552773	4
CLL	0.85739322450805	4.1
CLL	0.857695102862254	4.2
CLL	0.858240161001789	4.3
CLL	0.858581171735242	4.4
CLL	0.858978085867621	4.5
CLL	0.859033989266547	4.6
CLL	0.858502906976744	4.7
CLL	0.858542039355993	4.8
CLL	0.858667822003578	4.9
CLL	0.859263193202147	5
CLL	0.857259056350626	5.1
CLL	0.855819543828265	5.2
CLL	0.852616279069767	5.3
CLL	0.848837209302326	5.4
CLL	0.844982669946333	5.5
CLL	0.830154293381038	5.6
CLL	0.824181015205725	5.7
CLL	0.822160107334526	5.8
CLL	0.802062835420394	5.9
CLL	0.797884056350626	6
CLL	0.792872316636851	6.1
CLL	0.781862142218247	6.2
CLL	0.778616949910555	6.3
CLL	0.775603756708408	6.4
CLL	0.764540474060823	6.5
CLL	0.758427437388193	6.6
CLL	0.745569655635063	6.7
CLL	0.739076475849732	6.8
CLL	0.725953152951699	6.9
CLL	0.721533989266547	7
CLL	0.721000111806798	7.1
CLL	0.723806462432916	7.2
CLL	0.715686493738819	7.3
CLL	0.717100849731664	7.4
CLL	0.71861303667263	7.5
CLL	0.723051766547406	7.6
CLL	0.718506820214669	7.7
CLL	0.713861247763864	7.8
CLL	0.695633944543828	7.9
CLL	0.668649373881932	8
CLL	0.64598334078712	8.1
CLL	0.649181015205724	8.2
CLL	0.644493515205725	8.3
CLL	0.643459302325581	8.4
CLL	0.643450916815742	8.5
CLL	0.634743962432916	8.6
CLL	0.602881820214669	8.7
CLL	0.593808698568873	8.8
CLL	0.58147081842576	8.9
CLL	0.571388640429338	9
CLL	0.575668045617173	9.1
CLL	0.579282200357782	9.2
CLL	0.570541703935599	9.3
CLL	0.574331954382826	9.4
CLL	0.578714780858676	9.5
CLL	0.582013081395349	9.6
CLL	0.566471936493739	9.7
CLL	0.564716569767442	9.8
CLL	0.568954047406082	9.9
CLL	0.571383050089445	10
CRC	0.682848038589318	-2
CRC	0.682947866087401	-1.9
CRC	0.682983803986711	-1.8
CRC	0.683067659085101	-1.7
CRC	0.683191445182724	-1.6
CRC	0.683307245080501	-1.5
CRC	0.683411065678508	-1.4
CRC	0.683534851776131	-1.3
CRC	0.683662630973678	-1.2
CRC	0.683838327370304	-1.1
CRC	0.684029996166624	-1
CRC	0.684209685663174	-0.9
CRC	0.684457257858421	-0.8
CRC	0.684624968055201	-0.7
CRC	0.684824623051367	-0.6
CRC	0.685088167646307	-0.5
CRC	0.685383657040634	-0.4
CRC	0.68579893943266	-0.3
CRC	0.686150332225914	-0.2
CRC	0.68657759391771	-0.1
CRC	0.687016834909277	0
CRC	0.68759583439816	0.1
CRC	0.68817084078712	0.2
CRC	0.688725881676463	0.3
CRC	0.689292901865576	0.4
CRC	0.690011659851776	0.5
CRC	0.690722431638129	0.6
CRC	0.691429210324559	0.7
CRC	0.692283733708152	0.8
CRC	0.693110305392282	0.9
CRC	0.693769166879632	1
CRC	0.694451986966522	1.1
CRC	0.695302517250192	1.2
CRC	0.696240895732175	1.3
CRC	0.697231184513161	1.4
CRC	0.698049769997444	1.5
CRC	0.698844396882188	1.6
CRC	0.699990416560184	1.7
CRC	0.7010885190391	1.8
CRC	0.702306414515717	1.9
CRC	0.70352031689241	2
CRC	0.705864266547406	2.1
CRC	0.708196236902632	2.2
CRC	0.710392441860465	2.3
CRC	0.712720419115768	2.4
CRC	0.715403782264247	2.5
CRC	0.717560056222847	2.6
CRC	0.719584557883976	2.7
CRC	0.721077977255303	2.8
CRC	0.723074527216969	2.9
CRC	0.724288429593662	3
CRC	0.725246773575262	3.1
CRC	0.725690007666752	3.2
CRC	0.725809800664452	3.3
CRC	0.725486359570662	3.4
CRC	0.725011180679785	3.5
CRC	0.724707705085612	3.6
CRC	0.724252491694352	3.7
CRC	0.723881133401482	3.8
CRC	0.723713423204702	3.9
CRC	0.724012905698952	4
CRC	0.724687739585995	4.1
CRC	0.725190870176335	4.2
CRC	0.726448696652185	4.3
CRC	0.727526833631485	4.4
CRC	0.727055647840532	4.5
CRC	0.726935854842832	4.6
CRC	0.727798364426271	4.7
CRC	0.727626661129568	4.8
CRC	0.729719045489394	4.9
CRC	0.728085867620751	5
CRC	0.727015716841298	5.1
CRC	0.722040314336826	5.2
CRC	0.713075805008945	5.3
CRC	0.703791847687196	5.4
CRC	0.697690391004344	5.5
CRC	0.68837448888321	5.6
CRC	0.684421319959111	5.7
CRC	0.678527504472272	5.8
CRC	0.672446013289036	5.9
CRC	0.652939720163557	6
CRC	0.632606855353948	6.1
CRC	0.631912055967288	6.2
CRC	0.630941732685919	6.3
CRC	0.631341042678252	6.4
CRC	0.616027504472272	6.5
CRC	0.604167997699975	6.6
CRC	0.607538174035267	6.7
CRC	0.613831299514439	6.8
CRC	0.571045233835932	6.9
CRC	0.5472343789931	7
CRC	0.546567531305903	7.1
CRC	0.550760286225403	7.2
CRC	0.559437292358804	7.3
CRC	0.557668349092768	7.4
CRC	0.54431142984922	7.5
CRC	0.528574623051367	7.6
CRC	0.529429146434961	7.7
CRC	0.502471728852543	7.8
CRC	0.497855705341171	7.9
CRC	0.501896722463583	8
CRC	0.505123147201636	8.1
CRC	0.514970131612573	8.2
CRC	0.51696668157424	8.3
CRC	0.52975258752875	8.4
CRC	0.487589445438283	8.5
