name,s,e,c
A1BG,1358914,1359295,1359164
A1CF,866252,866765,866515;866502
A2M,979849,980349,980099;980099
A2ML1,979702,980213,979963;979952
A4GALT,1436170,1436670,1436420
A4GNT,314902,315402,315152
AAAS,1002072,1002572,1002322
AACS,1037989,1038489,1038239
AADAC,321742,322242,321992
AADACL2,321702,322202,321952
AADACL3,6139,6639,6389
AADACL4,6103,6603,6353
AADAT,430494,430994,430744;430744
AAED1,819044,819544,819294
AAGAB,1187174,1187674,1187424;1187424
AAK1,159312,159812,159562
AAMDC,946477,946977,946727
AAMP,233944,234444,234194
AANAT,1287069,1287576,1287326;1287319
AAR2,1376459,1376959,1376709
AARD,755128,755628,755378
AARS,1239828,1240328,1240078
AARS2,553165,553665,553415
AARSD1,1270403,1270903,1270653
AASDH,373615,374115,373865;373865
AASDHPPT,960685,961185,960935;960935
AASS,677473,677975,677725;677723
AATF,1267498,1267998,1267748
AATK,1289397,1289914,1289647;1289664
ABAT,1209051,1209574,1209301;1209321;1209324;1209320
ABCA1,823180,823681,823431;823430
ABCA10,1283457,1283957,1283707
ABCA12,232325,232878,232628;232575
ABCA13,640688,641188,640938
ABCA2,839297,839797,839547
ABCA3,1205858,1206362,1206112;1206108
ABCA4,47044,47544,47294
ABCA5,1283500,1284006,1283756;1283752;1283750
ABCA6,1283414,1283914,1283664
ABCA7,1330002,1330502,1330252;1330252
ABCA8,1283320,1283820,1283570
ABCA9,1283373,1283873,1283623
ABCB1,660198,660754,660448;660504
ABCB10,114598,115098,114848
ABCB11,209320,209820,209570
ABCB4,660135,660635,660385;660385
ABCB5,626912,627426,627176;627162
ABCB6,234418,234918,234668;234668
ABCB7,1477466,1477966,1477716
ABCB8,691945,692445,692195
ABCB9,1036940,1037440,1037190
ABCC1,1212688,1213188,1212938
ABCC10,552722,553224,552972;552972;552974
ABCC2,890714,891214,890964
ABCC3,1274201,1274701,1274451
ABCC4,1090117,1090617,1090367
ABCC5,337843,338344,338094;338094;338093
ABCC6,1212825,1213325,1213075
ABCC8,916460,916960,916710
ABCD1,1516773,1517273,1517023;1517023
ABCD2,995221,995721,995471
ABCD3,47192,47692,47442
ABCD4,1137110,1137610,1137360
ABCE1,417998,418498,418248
ABCF1,546294,546794,546544
ABCF2,692045,692545,692295
ABCF3,337928,338428,338178
ABCG1,1412369,1412879,1412629;1412619;1412629;1412628
ABCG2,389529,390065,389779;389814;389815
ABCG4,967220,967721,967470;967471
ABCG5,146409,146909,146659
ABCG8,146410,146910,146660
ABHD1,138050,138550,138300
ABHD10,301825,302325,302075
ABHD11,653159,653659,653409
ABHD12,1371732,1372232,1371982
ABHD12B,1125395,1125895,1125645
ABHD13,1096576,1097076,1096826;1096826
ABHD14A,271981,272481,272231
ABHD15,1263792,1264292,1264042
ABHD16A,546860,547360,547110;547110
ABHD16B,1390293,1390793,1390543
ABHD17A,1330424,1330924,1330674
ABHD17B,806598,807098,806848;806848
ABHD17C,1193894,1194394,1194144
ABHD18,409432,409932,409682
ABHD2,1198216,1198730,1198466;1198466;1198480
ABHD3,1300085,1300585,1300335
ABHD4,1111259,1111759,1111509
ABHD5,267843,268343,268093
ABHD6,275088,275588,275338;275338
ABHD8,1338189,1338689,1338439
ABI1,853517,854017,853767
ABI2,226473,226973,226723
ABI3,1273488,1273988,1273738;1273738
ABI3BP,296333,296833,296583
ABL1,836130,836691,836380;836441;836441;836380
ABL2,89307,89850,89600;89557
ABLIM1,898073,898665,898336;898415;898323;898415;898402
ABLIM2,349025,349569,349319;349275;349319
ABLIM3,514827,515327,515077;515077;515077;515077
ABO,837411,837911,837661
ABR,1250312,1250890,1250601;1250636;1250640;1250562;1250586
ABRA,750044,750544,750294
ABRACL,600699,601199,600949
ABS,529038,529538,529288
ABT1,544323,544823,544573
ABTB1,309672,310174,309922;309924
ABTB2,924900,925400,925150
AC004381.6,1215075,1215576,1215325;1215325;1215326
AC013461.1,211347,211854,211597;211604
ACAA1,265066,265566,265316
ACAA2,1314112,1314613,1314362;1314363
ACACA,1267673,1268228,1267953;1267978;1267947;1267923
ACACB,1030003,1030503,1030253
ACAD10,1031276,1031779,1031526;1031529
ACAD11,312166,312666,312416
ACAD8,974772,975272,975022
ACAD9,310276,310776,310526
ACADL,229922,230422,230172
ACADM,37846,38346,38096;38096
ACADS,1035796,1036296,1036046
ACADSB,902327,902827,902577
ACADVL,1253406,1253906,1253656;1253656
ACAN,1198074,1198586,1198324;1198336;1198324
ACAP1,1253464,1253964,1253714
ACAP2,343558,344058,343808
ACAP3,372,872,622
ACAT1,961707,962207,961957
ACAT2,611115,611616,611365;611366
ACBD3,112938,113438,113188
ACBD4,1271449,1271951,1271701;1271699
ACBD5,853707,854208,853957;853958;853957
ACBD6,89986,90486,90236
ACBD7,847508,848008,847758
ACCS,929754,930254,930004
ACD,1238514,1239014,1238764;1238764
ACE,1280622,1281126,1280872;1280876
ACE2,1448087,1448588,1448338;1448337
ACER1,1332648,1333148,1332898
ACER2,779040,779540,779290
ACER3,945996,946498,946246;946248
ACHE,666829,667329,667079;667079
ACIN1,1111496,1112008,1111746;1111758;1111746
ACKR1,79337,79838,79588;79587;79588
ACKR2,267402,267921,267652;267671
ACKR3,243116,243616,243366
ACKR4,312135,312635,312385
ACLY,1269882,1270382,1270132
ACMSD,192175,192675,192425
ACO1,785528,786028,785778
ACO2,1435557,1436057,1435807
ACOT1,1136727,1137227,1136977
ACOT11,27257,27757,27507
ACOT12,480911,481411,481161
ACOT13,543358,543858,543608;543608
ACOT2,1136743,1137243,1136993
ACOT4,1136755,1137255,1137005
ACOT7,2960,3477,3227;3223;3210;3211;3210
ACOT9,1452158,1452658,1452408
ACOX1,1286832,1287332,1287082;1287082
ACOX2,275238,275738,275488;275488
ACOX3,349204,349710,349460;349454
ACOXL,180122,180632,180372;180382
ACP1,124628,125009,124759
ACP2,931346,931846,931596;931596
ACP5,1335326,1335826,1335576;1335576
ACP6,73322,73822,73572;73572
ACPP,311995,312495,312245
ACPT,1355128,1355628,1355378
ACR,1440213,1440526,1440463
ACRBP,978593,979093,978843
ACRC,1475677,1476177,1475927
ACRV1,970486,970986,970736
ACSBG1,1192664,1193164,1192914
ACSBG2,1332549,1333050,1332799;1332800
ACSF2,1274096,1274596,1274346
ACSF3,1249247,1249749,1249497;1249499
ACSL1,437852,438362,438112;438102;438103;438102;438105
ACSL3,236239,236753,236489;236503
ACSL4,1494766,1495266,1495016
ACSL5,897009,897517,897260;897260;897267;897259
ACSL6,506234,506740,506490;506484;506490
ACSM2A,1214898,1215398,1215148
ACSM2B,1214960,1215460,1215210
ACSM3,1215054,1215554,1215304;1215304
ACSM5,1214877,1215377,1215127
ACSM6,888419,888919,888669
ACSS1,1371553,1372066,1371816;1371803
ACSS2,1375779,1376279,1376029
ACSS3,1015950,1016450,1016200
ACTA1,114535,115035,114785
ACTA2,885299,885818,885568;885549
ACTB,619368,619868,619618
ACTBL2,468956,469456,469206
ACTC,1170944,1171444,1171194
ACTG1,1289584,1290084,1289834;1289834
ACTG2,161437,161940,161690;161687
ACTL10,1375174,1375674,1375424;1375424
ACTL6A,335617,336117,335867
ACTL6B,666710,667210,666960
ACTL7A,825148,825648,825398
ACTL7B,825145,825645,825395
ACTL8,8791,9323,9041;9073
ACTL9,1333886,1334386,1334136
ACTN2,118175,118675,118425
ACTN3,940868,941368,941118
